                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2974,                 1.5881,                 1.0288,                0.79016,                0.61079,                0.70727,                0.46506,                 1.1523,                0.99389,                 1.0499,             0.00066395,             0.00066395,             0.00066395
                      2,                 1.2734,                0.94424,                 1.0376,                0.73173,                0.58391,                0.68018,                0.41496,                 1.2548,                 1.1687,                 1.0787,              0.0013043,              0.0013043,              0.0013043
                      3,                 1.2848,                0.92004,                 1.0415,                0.83721,                0.65811,                0.77212,                0.50604,                 1.1436,                0.84099,                 1.0254,              0.0019182,              0.0019182,              0.0019182
                      4,                 1.2134,                0.86315,                 1.0267,                0.83341,                0.64665,                0.76544,                0.50153,                 1.1318,                0.80467,                 1.0358,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2258,                  0.841,                   1.03,                0.85306,                0.72245,                0.82236,                0.54849,                 1.0476,                0.70467,                 1.0174,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.1596,                0.78724,                 1.0024,                0.84892,                0.71983,                0.81924,                 0.5616,                 1.0185,                0.68587,                 1.0024,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.1406,                0.76434,                 1.0011,                 0.8631,                0.72938,                0.83737,                0.55383,                 1.0379,                0.66801,                 1.0156,               0.001802,               0.001802,               0.001802
                      8,                 1.1113,                0.74182,                0.98667,                 0.8686,                0.73236,                0.84013,                0.57198,                 1.0011,                0.67155,                0.99158,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.1051,                0.73599,                0.99269,                0.88846,                0.73889,                0.85524,                0.58828,                0.96977,                0.64045,                 0.9773,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0796,                0.70525,                0.97117,                0.89955,                0.75188,                 0.8647,                0.59106,                0.98524,                0.63346,                0.97946,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0856,                 0.7098,                0.98081,                0.88115,                 0.7679,                0.86671,                0.59156,                0.99779,                0.63089,                0.98408,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.0704,                0.68777,                0.97008,                0.87271,                 0.7588,                0.85548,                0.59647,                0.95844,                0.60559,                0.97545,               0.001604,               0.001604,               0.001604
                     13,                 1.0636,                0.68689,                0.97515,                0.89966,                 0.7657,                0.87399,                0.61081,                0.93354,                0.59215,                0.97275,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.0466,                0.66682,                0.96422,                0.88816,                0.77212,                0.86874,                0.60162,                 0.9581,                0.59009,                0.97081,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.0439,                0.66121,                0.96599,                0.89216,                0.78044,                0.87553,                0.61455,                0.93598,                0.59072,                0.96105,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.0285,                0.66139,                0.96088,                0.89544,                0.77409,                0.87759,                 0.6094,                0.93987,                0.58362,                0.96318,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.0298,                 0.6551,                0.96053,                0.88977,                0.77409,                0.87287,                0.60883,                 0.9284,                0.59344,                0.97477,               0.001406,               0.001406,               0.001406
                     18,                 1.0159,                0.65263,                0.95927,                0.87232,                 0.8003,                0.88632,                0.62153,                0.92585,                0.56325,                0.96249,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.0317,                0.65133,                0.95841,                0.87329,                0.78939,                0.87856,                0.61958,                0.92167,                0.57397,                0.96237,              0.0013268,              0.0013268,              0.0013268
                     20,                0.99991,                0.62603,                0.94317,                0.90102,                0.78419,                0.88363,                 0.6215,                0.91595,                0.54926,                0.95447,              0.0012872,              0.0012872,              0.0012872
                     21,                0.99864,                0.62084,                0.94753,                0.88547,                0.79853,                0.89191,                0.63718,                0.88953,                 0.5507,                0.95058,              0.0012476,              0.0012476,              0.0012476
                     22,                0.99478,                0.61407,                0.93937,                0.89692,                 0.7933,                0.88969,                0.63905,                0.89626,                 0.5422,                 0.9527,               0.001208,               0.001208,               0.001208
                     23,                 1.0013,                0.61567,                0.94581,                0.90781,                0.78419,                0.89128,                0.63224,                0.89732,                0.54641,                0.96085,              0.0011684,              0.0011684,              0.0011684
                     24,                0.98417,                0.59736,                0.94325,                0.90497,                0.78967,                0.89086,                0.64143,                 0.8875,                 0.5324,                0.94802,              0.0011288,              0.0011288,              0.0011288
                     25,                0.97586,                0.58992,                0.94072,                0.91824,                 0.7989,                0.90078,                0.63787,                0.90975,                0.52728,                0.94829,              0.0010892,              0.0010892,              0.0010892
                     26,                0.96039,                0.57963,                0.93606,                0.90834,                0.79284,                0.89324,                0.64655,                0.87265,                0.51498,                0.94655,              0.0010496,              0.0010496,              0.0010496
                     27,                0.95374,                0.57398,                0.92775,                 0.8914,                 0.8116,                0.89853,                0.65064,                0.87115,                0.51222,                0.94034,                0.00101,                0.00101,                0.00101
                     28,                0.95183,                0.57269,                0.93018,                0.91328,                0.80179,                 0.9028,                0.64972,                0.86246,                0.51465,                0.93858,              0.0009704,              0.0009704,              0.0009704
                     29,                0.93301,                0.56835,                0.92827,                0.90035,                0.79247,                0.89859,                0.63826,                0.90435,                0.52059,                0.95024,              0.0009308,              0.0009308,              0.0009308
                     30,                0.94123,                0.56633,                0.93035,                0.89305,                0.80707,                0.89796,                0.64814,                0.86891,                0.51566,                0.94163,              0.0008912,              0.0008912,              0.0008912
                     31,                0.94816,                0.57229,                0.93103,                 0.9122,                0.79739,                0.89771,                 0.6463,                0.87537,                0.51317,                0.94161,              0.0008516,              0.0008516,              0.0008516
                     32,                 0.9347,                0.56772,                0.92328,                0.89593,                0.82465,                0.90767,                  0.651,                0.85883,                0.49101,                0.93575,               0.000812,               0.000812,               0.000812
                     33,                0.92998,                0.54579,                0.92137,                0.91462,                0.80973,                 0.9069,                0.65693,                0.86159,                 0.4949,                0.93866,              0.0007724,              0.0007724,              0.0007724
                     34,                0.90691,                0.53981,                0.91652,                0.90321,                0.80871,                0.90349,                0.65577,                0.84906,                0.49575,                0.93262,              0.0007328,              0.0007328,              0.0007328
                     35,                0.92234,                0.54271,                0.92412,                0.91366,                0.80496,                0.90493,                0.65467,                0.86966,                0.49232,                0.94037,              0.0006932,              0.0006932,              0.0006932
                     36,                0.90853,                0.53005,                0.91865,                 0.9073,                0.82487,                0.91397,                0.65854,                0.86499,                0.48517,                0.94588,              0.0006536,              0.0006536,              0.0006536
                     37,                0.90263,                0.52466,                0.91825,                0.91563,                0.81448,                0.90913,                0.65712,                0.87165,                0.48782,                 0.9354,               0.000614,               0.000614,               0.000614
                     38,                 0.9077,                0.51449,                 0.9132,                0.91802,                 0.8206,                0.91303,                 0.6601,                0.85692,                0.46857,                0.93788,              0.0005744,              0.0005744,              0.0005744
                     39,                0.90041,                0.51649,                0.91984,                0.91334,                 0.8165,                0.91244,                0.65744,                0.85977,                0.47198,                 0.9345,              0.0005348,              0.0005348,              0.0005348
                     40,                0.89552,                0.51107,                0.91491,                0.91121,                 0.8341,                0.91816,                0.66886,                0.84072,                0.46374,                0.93031,              0.0004952,              0.0004952,              0.0004952
                     41,                0.87761,                 0.5006,                0.91962,                0.91866,                  0.824,                0.91661,                0.67289,                0.84444,                0.46225,                0.92961,              0.0004556,              0.0004556,              0.0004556
                     42,                0.86735,                0.49716,                 0.9193,                0.92582,                0.82815,                0.91847,                0.67045,                0.83986,                 0.4573,                0.92985,               0.000416,               0.000416,               0.000416
                     43,                0.86274,                0.49172,                0.91478,                0.92162,                0.82891,                0.91941,                0.67381,                0.83438,                0.45693,                0.92568,              0.0003764,              0.0003764,              0.0003764
                     44,                0.85944,                0.48574,                0.91543,                0.90967,                0.83872,                 0.9212,                 0.6778,                0.82744,                0.45181,                0.92445,              0.0003368,              0.0003368,              0.0003368
                     45,                0.84771,                0.47263,                0.91022,                0.92853,                0.82343,                0.92231,                0.67602,                0.82801,                0.44688,                0.92428,              0.0002972,              0.0002972,              0.0002972
                     46,                 0.8556,                0.47694,                0.91299,                 0.9212,                0.83641,                 0.9223,                0.68006,                0.83545,                0.44942,                0.92716,              0.0002576,              0.0002576,              0.0002576
                     47,                0.83786,                0.46992,                0.90743,                0.92315,                0.83179,                  0.923,                0.68346,                  0.823,                0.44109,                0.92488,               0.000218,               0.000218,               0.000218
                     48,                0.83657,                0.46307,                 0.9063,                0.92559,                0.83872,                0.92383,                0.68087,                0.82163,                0.44178,                 0.9235,              0.0001784,              0.0001784,              0.0001784
                     49,                0.82453,                0.45184,                0.90078,                0.92596,                0.83958,                0.92768,                0.68467,                0.81752,                0.43404,                0.92354,              0.0001388,              0.0001388,              0.0001388
                     50,                0.82666,                 0.4465,                0.90087,                0.92923,                0.83722,                0.92675,                0.68416,                0.82287,                0.43501,                0.92156,               9.92e-05,               9.92e-05,               9.92e-05
